flightNumber,departureAirportCode,departureAirportName,arrivalAirportCode,arrivalAirportName,departureDate,arrivalDate,carrierCode,duration_formatted,price,hasDiscount,fareType,availableSeats,flightKey
FR 563,CRL,Brussels (Charleroi),TFS,Tenerife (South),2023-04-02T12:35:00.000,2023-04-02T16:10:00.000,,04:35,195.79,True,ADT,-1,FR~ 563~ ~~CRL~04/02/2023 12:35~TFS~04/02/2023 16:10~~
FR 2923,BRU,Brussels,AGP,Malaga,2023-04-03T17:40:00.000,2023-04-03T20:30:00.000,,02:50,127.99,False,ADT,-1,FR~2923~ ~~BRU~04/03/2023 17:40~AGP~04/03/2023 20:30~~
FR 8577,CRL,Brussels (Charleroi),RHO,Rhodes,2023-04-03T12:00:00.000,2023-04-03T16:35:00.000,,03:35,147.2,False,ADT,5,FR~8577~ ~~CRL~04/03/2023 12:00~RHO~04/03/2023 16:35~~
FR 7737,CRL,Brussels (Charleroi),BDS,Brindisi,2023-04-03T20:55:00.000,2023-04-03T23:20:00.000,Malta Air,02:25,51.05,False,ADT,1,FR~7737~ ~~CRL~04/03/2023 20:55~BDS~04/03/2023 23:20~~
FR 1302,CRL,Brussels (Charleroi),NAP,Naples,2023-04-03T06:30:00.000,2023-04-03T08:45:00.000,,02:15,126.29,False,ADT,-1,FR~1302~ ~~CRL~04/03/2023 06:30~NAP~04/03/2023 08:45~~
FR 6269,CRL,Brussels (Charleroi),PMO,Palermo,2023-04-03T12:05:00.000,2023-04-03T14:35:00.000,,02:30,129.38,False,ADT,3,FR~6269~ ~~CRL~04/03/2023 12:05~PMO~04/03/2023 14:35~~
FR 2941,CRL,Brussels (Charleroi),FAO,Faro,2023-04-03T18:00:00.000,2023-04-03T19:55:00.000,,02:55,87.99,False,ADT,2,FR~2941~ ~~CRL~04/03/2023 18:00~FAO~04/03/2023 19:55~~
FR 3534,CRL,Brussels (Charleroi),ALC,Alicante,2023-04-03T16:55:00.000,2023-04-03T19:20:00.000,,02:25,132.54,False,ADT,4,FR~3534~ ~~CRL~04/03/2023 16:55~ALC~04/03/2023 19:20~~
FR 1916,CRL,Brussels (Charleroi),AGP,Malaga,2023-04-03T19:20:00.000,2023-04-03T22:05:00.000,,02:45,109.69,False,ADT,4,FR~1916~ ~~CRL~04/03/2023 19:20~AGP~04/03/2023 22:05~~
FR 7986,CRL,Brussels (Charleroi),HER,Heraklion Crete,2023-04-04T07:20:00.000,2023-04-04T11:45:00.000,,03:25,119.31,False,ADT,3,FR~7986~ ~~CRL~04/04/2023 07:20~HER~04/04/2023 11:45~~
FR 7737,CRL,Brussels (Charleroi),BDS,Brindisi,2023-04-04T17:20:00.000,2023-04-04T19:45:00.000,,02:25,87.66,False,ADT,2,FR~7737~ ~~CRL~04/04/2023 17:20~BDS~04/04/2023 19:45~~
FR 1302,CRL,Brussels (Charleroi),NAP,Naples,2023-04-04T19:20:00.000,2023-04-04T21:35:00.000,Malta Air,02:15,95.41,False,ADT,1,FR~1302~ ~~CRL~04/04/2023 19:20~NAP~04/04/2023 21:35~~
FR 6269,CRL,Brussels (Charleroi),PMO,Palermo,2023-04-04T15:35:00.000,2023-04-04T18:05:00.000,,02:30,95.41,False,ADT,4,FR~6269~ ~~CRL~04/04/2023 15:35~PMO~04/04/2023 18:05~~
FR 2941,CRL,Brussels (Charleroi),FAO,Faro,2023-04-04T13:45:00.000,2023-04-04T15:40:00.000,,02:55,104.99,False,ADT,-1,FR~2941~ ~~CRL~04/04/2023 13:45~FAO~04/04/2023 15:40~~
FR 3534,CRL,Brussels (Charleroi),ALC,Alicante,2023-04-04T06:30:00.000,2023-04-04T08:55:00.000,,02:25,152.92,False,ADT,-1,FR~3534~ ~~CRL~04/04/2023 06:30~ALC~04/04/2023 08:55~~
FR 6456,CRL,Brussels (Charleroi),IBZ,Ibiza,2023-04-04T09:25:00.000,2023-04-04T11:50:00.000,,02:25,74.99,False,ADT,-1,FR~6456~ ~~CRL~04/04/2023 09:25~IBZ~04/04/2023 11:50~~
FR 1916,CRL,Brussels (Charleroi),AGP,Malaga,2023-04-04T16:00:00.000,2023-04-04T18:45:00.000,,02:45,139.99,False,ADT,-1,FR~1916~ ~~CRL~04/04/2023 16:00~AGP~04/04/2023 18:45~~
FR 563,CRL,Brussels (Charleroi),TFS,Tenerife (South),2023-04-04T07:15:00.000,2023-04-04T10:50:00.000,,04:35,167.76,True,ADT,4,FR~ 563~ ~~CRL~04/04/2023 07:15~TFS~04/04/2023 10:50~~
FR 2923,BRU,Brussels,AGP,Malaga,2023-04-05T10:05:00.000,2023-04-05T13:00:00.000,,02:55,168.99,False,ADT,5,FR~2923~ ~~BRU~04/05/2023 10:05~AGP~04/05/2023 13:00~~
FR 8577,CRL,Brussels (Charleroi),RHO,Rhodes,2023-04-05T13:10:00.000,2023-04-05T17:45:00.000,,03:35,100.33,False,ADT,3,FR~8577~ ~~CRL~04/05/2023 13:10~RHO~04/05/2023 17:45~~
FR 1302,CRL,Brussels (Charleroi),NAP,Naples,2023-04-05T16:35:00.000,2023-04-05T18:50:00.000,,02:15,83.08,False,ADT,3,FR~1302~ ~~CRL~04/05/2023 16:35~NAP~04/05/2023 18:50~~
FR 6269,CRL,Brussels (Charleroi),PMO,Palermo,2023-04-05T09:25:00.000,2023-04-05T11:55:00.000,Malta Air,02:30,96.2,False,ADT,-1,FR~6269~ ~~CRL~04/05/2023 09:25~PMO~04/05/2023 11:55~~
FR 2941,CRL,Brussels (Charleroi),FAO,Faro,2023-04-05T12:25:00.000,2023-04-05T14:20:00.000,,02:55,87.24,False,ADT,-1,FR~2941~ ~~CRL~04/05/2023 12:25~FAO~04/05/2023 14:20~~
FR 3534,CRL,Brussels (Charleroi),ALC,Alicante,2023-04-05T10:00:00.000,2023-04-05T12:25:00.000,,02:25,95.99,True,ADT,-1,FR~3534~ ~~CRL~04/05/2023 10:00~ALC~04/05/2023 12:25~~
FR 1916,CRL,Brussels (Charleroi),AGP,Malaga,2023-04-05T06:45:00.000,2023-04-05T09:30:00.000,,02:45,110.49,True,ADT,-1,FR~1916~ ~~CRL~04/05/2023 06:45~AGP~04/05/2023 09:30~~
FR 1302,CRL,Brussels (Charleroi),NAP,Naples,2023-04-06T06:25:00.000,2023-04-06T08:40:00.000,,02:15,72.53,False,ADT,-1,FR~1302~ ~~CRL~04/06/2023 06:25~NAP~04/06/2023 08:40~~
FR 2941,CRL,Brussels (Charleroi),FAO,Faro,2023-04-06T11:25:00.000,2023-04-06T13:20:00.000,,02:55,104.99,False,ADT,-1,FR~2941~ ~~CRL~04/06/2023 11:25~FAO~04/06/2023 13:20~~
FR 9053,CRL,Brussels (Charleroi),ALC,Alicante,2023-04-06T09:00:00.000,2023-04-06T11:25:00.000,,02:25,98.99,False,ADT,-1,FR~9053~ ~~CRL~04/06/2023 09:00~ALC~04/06/2023 11:25~~
FR 6456,CRL,Brussels (Charleroi),IBZ,Ibiza,2023-04-06T10:20:00.000,2023-04-06T12:45:00.000,,02:25,72.53,False,ADT,4,FR~6456~ ~~CRL~04/06/2023 10:20~IBZ~04/06/2023 12:45~~
FR 1916,CRL,Brussels (Charleroi),AGP,Malaga,2023-04-06T17:30:00.000,2023-04-06T20:15:00.000,,02:45,154.09,False,ADT,-1,FR~1916~ ~~CRL~04/06/2023 17:30~AGP~04/06/2023 20:15~~
FR 563,CRL,Brussels (Charleroi),TFS,Tenerife (South),2023-04-06T20:00:00.000,2023-04-06T23:35:00.000,,04:35,108.99,False,ADT,-1,FR~ 563~ ~~CRL~04/06/2023 20:00~TFS~04/06/2023 23:35~~
FR 8577,CRL,Brussels (Charleroi),RHO,Rhodes,2023-04-07T07:55:00.000,2023-04-07T12:30:00.000,,03:35,149.42,False,ADT,2,FR~8577~ ~~CRL~04/07/2023 07:55~RHO~04/07/2023 12:30~~
FR 7737,CRL,Brussels (Charleroi),BDS,Brindisi,2023-04-07T07:00:00.000,2023-04-07T09:25:00.000,,02:25,157.82,False,ADT,4,FR~7737~ ~~CRL~04/07/2023 07:00~BDS~04/07/2023 09:25~~
FR 1302,CRL,Brussels (Charleroi),NAP,Naples,2023-04-07T09:10:00.000,2023-04-07T11:25:00.000,Malta Air,02:15,127.33,False,ADT,-1,FR~1302~ ~~CRL~04/07/2023 09:10~NAP~04/07/2023 11:25~~
FR 6269,CRL,Brussels (Charleroi),PMO,Palermo,2023-04-07T16:35:00.000,2023-04-07T19:05:00.000,,02:30,109.73,False,ADT,2,FR~6269~ ~~CRL~04/07/2023 16:35~PMO~04/07/2023 19:05~~
FR 2941,CRL,Brussels (Charleroi),FAO,Faro,2023-04-07T07:05:00.000,2023-04-07T09:00:00.000,,02:55,131.49,False,ADT,5,FR~2941~ ~~CRL~04/07/2023 07:05~FAO~04/07/2023 09:00~~
FR 3534,CRL,Brussels (Charleroi),ALC,Alicante,2023-04-07T09:45:00.000,2023-04-07T12:10:00.000,,02:25,148.81,False,ADT,-1,FR~3534~ ~~CRL~04/07/2023 09:45~ALC~04/07/2023 12:10~~
FR 6456,CRL,Brussels (Charleroi),IBZ,Ibiza,2023-04-07T16:15:00.000,2023-04-07T18:40:00.000,,02:25,123.72,False,ADT,-1,FR~6456~ ~~CRL~04/07/2023 16:15~IBZ~04/07/2023 18:40~~
FR 1928,CRL,Brussels (Charleroi),AGP,Malaga,2023-04-07T10:00:00.000,2023-04-07T12:45:00.000,,02:45,155.27,False,ADT,-1,FR~1928~ ~~CRL~04/07/2023 10:00~AGP~04/07/2023 12:45~~
FR 563,CRL,Brussels (Charleroi),TFS,Tenerife (South),2023-04-07T06:20:00.000,2023-04-07T09:55:00.000,,04:35,132.19,False,ADT,4,FR~ 563~ ~~CRL~04/07/2023 06:20~TFS~04/07/2023 09:55~~
FR 7986,CRL,Brussels (Charleroi),HER,Heraklion Crete,2023-04-08T08:10:00.000,2023-04-08T12:35:00.000,,03:25,93.87,False,ADT,4,FR~7986~ ~~CRL~04/08/2023 08:10~HER~04/08/2023 12:35~~
FR 1302,CRL,Brussels (Charleroi),NAP,Naples,2023-04-08T07:45:00.000,2023-04-08T10:00:00.000,,02:15,73.21,False,ADT,3,FR~1302~ ~~CRL~04/08/2023 07:45~NAP~04/08/2023 10:00~~
FR 6269,CRL,Brussels (Charleroi),PMO,Palermo,2023-04-08T21:30:00.000,2023-04-08T23:59:00.000,Malta Air,02:29,178.99,False,ADT,-1,FR~6269~ ~~CRL~04/08/2023 21:30~PMO~04/08/2023 23:59~~
FR 2941,CRL,Brussels (Charleroi),FAO,Faro,2023-04-08T11:05:00.000,2023-04-08T13:00:00.000,,02:55,151.74,False,ADT,2,FR~2941~ ~~CRL~04/08/2023 11:05~FAO~04/08/2023 13:00~~
FR 3534,CRL,Brussels (Charleroi),ALC,Alicante,2023-04-08T15:50:00.000,2023-04-08T18:15:00.000,,02:25,155.27,False,ADT,5,FR~3534~ ~~CRL~04/08/2023 15:50~ALC~04/08/2023 18:15~~
FR 1916,CRL,Brussels (Charleroi),AGP,Malaga,2023-04-08T13:40:00.000,2023-04-08T16:25:00.000,,02:45,128.24,True,ADT,3,FR~1916~ ~~CRL~04/08/2023 13:40~AGP~04/08/2023 16:25~~
FR 2923,BRU,Brussels,AGP,Malaga,2023-04-09T09:55:00.000,2023-04-09T12:50:00.000,,02:55,146.99,False,ADT,4,FR~2923~ ~~BRU~04/09/2023 09:55~AGP~04/09/2023 12:50~~
FR 6251,CRL,Brussels (Charleroi),CFU,Corfu,2023-04-09T17:00:00.000,2023-04-09T20:40:00.000,,02:40,65.87,False,ADT,-1,FR~6251~ ~~CRL~04/09/2023 17:00~CFU~04/09/2023 20:40~~
FR 7737,CRL,Brussels (Charleroi),BDS,Brindisi,2023-04-09T17:30:00.000,2023-04-09T19:55:00.000,,02:25,36.92,False,ADT,-1,FR~7737~ ~~CRL~04/09/2023 17:30~BDS~04/09/2023 19:55~~
FR 1302,CRL,Brussels (Charleroi),NAP,Naples,2023-04-09T09:45:00.000,2023-04-09T12:00:00.000,Malta Air,02:15,78.14,True,ADT,5,FR~1302~ ~~CRL~04/09/2023 09:45~NAP~04/09/2023 12:00~~
FR 2941,CRL,Brussels (Charleroi),FAO,Faro,2023-04-09T16:45:00.000,2023-04-09T18:40:00.000,,02:55,60.99,True,ADT,5,FR~2941~ ~~CRL~04/09/2023 16:45~FAO~04/09/2023 18:40~~
FR 3534,CRL,Brussels (Charleroi),ALC,Alicante,2023-04-09T09:55:00.000,2023-04-09T12:20:00.000,,02:25,308.22,True,ADT,5,FR~3534~ ~~CRL~04/09/2023 09:55~ALC~04/09/2023 12:20~~
